,Unnamed: 0,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_foreign,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_science fiction,genre_tv movie,genre_thriller,genre_war,genre_western
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,7,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,12,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
14,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
17,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,22,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,23,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
24,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
25,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
28,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
29,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
32,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,33,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
34,34,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
35,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
37,37,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
38,38,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
39,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
41,41,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
42,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
43,43,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,44,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
45,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
46,46,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
47,47,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
48,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
49,49,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
50,50,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,52,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
53,53,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,56,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
56,57,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
57,58,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
58,59,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
59,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
60,61,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
61,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,66,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
66,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,69,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
69,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
70,71,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
71,72,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
72,73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
73,74,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
75,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
77,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
78,79,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
79,80,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,81,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
82,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
83,85,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,86,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,88,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
87,89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,90,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
89,91,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
90,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
91,93,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
92,94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,96,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
95,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
97,99,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99,101,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
