title,genre,rating,release_date,runtime,original_language
First Round Down,Action Comedy,10.0,2017,0.0,en
Nick Swardson: Taste It,Comedy,10.0,2015,68.0,en
The Reagan Show,Documentary,10.0,2017,75.0,en
In Search of Ancient Astronauts,Documentary,10.0,1973,0.0,en
Joe Cocker - Mad Dogs & Englishmen,Documentary Music,10.0,1971,117.0,en
Tokyo Ghoul,Action Drama Horror Thriller,10.0,2017,119.0,ja
High Roller: The Stu Ungar Story,Action Drama,10.0,2003,120.0,en
Common Threads: Stories from the Quilt,Documentary History,10.0,1989,79.0,en
Lad: A Yorkshire Story,Action Comedy Drama Family Thriller,10.0,2013,96.0,en
Der Herr Karl,Comedy,10.0,1961,60.0,de
Simon Magus,Action Comedy Drama Family Thriller,10.0,1999,101.0,en
Other Voices Other Rooms,Drama,10.0,1995,0.0,en
Reckless,Comedy Drama Fantasy,10.0,1995,91.0,en
Girl in the Cadillac,Adventure Crime Drama Romance,10.0,1995,89.0,en
Stiff Upper Lips,Comedy,10.0,1998,99.0,en
Gendernauts: A Journey Through Shifting Identities,Documentary,10.0,1999,87.0,en
The Human Surge,Drama,10.0,2016,96.0,es
Something in the Wind,Comedy,10.0,1947,94.0,en
Hell to Eternity,Drama War,10.0,1960,131.0,en
Jedi Junior High,Documentary,10.0,,75.0,en
Frankie Boyle: Hurt Like You've Never Been Loved,Comedy,10.0,2016,64.0,en
American Sharia,Comedy Drama,10.0,2015,96.0,en
Has the Film Already Started?,Action Comedy Drama Family Thriller,10.0,1951,62.0,en
Ten Benny,Action Drama,10.0,1995,108.0,en
The Bachelor,Comedy Romance,10.0,2016,110.0,el
Крепость: щитом и мечом,Adventure Animation War,10.0,2015,,ru
Big Jay Oakerson: Live at Webster Hall,Comedy,10.0,2016,0.0,en
My Night: Your Day,Comedy Crime,10.0,2015,0.0,hu
People of a Feather,Documentary,10.0,2012,90.0,en
The Taming of the Shrew,Comedy Drama Romance,10.0,1980,126.0,en
King: A Filmed Record... Montgomery to Memphis,Documentary,10.0,1970,185.0,en
Firefly,Comedy,10.0,1975,84.0,en
Little Dorrit,Drama,10.0,1987,357.0,en
The Dragon Lives Again,Action Fantasy,10.0,1977,0.0,en
If God Is Willing and da Creek Don't Rise,Documentary,10.0,2010,255.0,en
Aashiq,Action Comedy Drama Family Thriller,10.0,2001,0.0,en
George Lopez: America's Mexican,Comedy,10.0,2007,65.0,en
Sum of Histories,Drama Romance Science-Fiction,10.0,2015,86.0,nl
Let No Man Write My Epitaph,Drama,10.0,1960,105.0,en
Double Tide,Action Comedy Drama Family Thriller,10.0,2009,99.0,en
