title,genre,rating,release_date,runtime,original_language
Planet Earth II,Documentary,9.5,2016,300.0,en
Cosmos,Action Comedy Drama Family Thriller,9.1,,60.0,en
Life Cycles,Documentary,8.8,2010,47.0,en
Lemonade,Music,8.8,2016,65.0,en
Planet Earth,Documentary,8.8,2006,550.0,en
The Story of Film: An Odyssey,Documentary,8.8,2011,900.0,en
Stop Making Sense,Documentary Music,8.7,1984,88.0,en
Sansho the Bailiff,Drama,8.7,1954,124.0,ja
The Mask You Live In,Documentary,8.7,2015,88.0,en
Shoah,Documentary,8.7,1985,566.0,en
Human,Documentary,8.6,2015,263.0,fr
Cosy Dens,Comedy Drama,8.6,1999,115.0,cs
The Jinx: The Life and Deaths of Robert Durst,Documentary,8.6,2015,240.0,en
The Human Condition I: No Greater Love,Drama History War,8.5,1959,208.0,ja
The Shawshank Redemption,Crime Drama,8.5,1994,142.0,en
Parched,Drama,8.5,2015,116.0,hi
Bill Hicks: Revelations,Comedy,8.5,1993,60.0,en
The Human Condition II: Road to Eternity,Drama History War,8.5,1959,181.0,ja
The Man Who Sleeps,Drama,8.5,1974,77.0,fr
Life,Documentary,8.5,2009,500.0,en
O.J.: Made in America,Documentary,8.5,2016,463.0,en
Too Many Cooks,Comedy,8.5,2014,11.0,en
Iron Maiden: Flight 666,Documentary Music,8.5,2009,112.0,cs
Pixote,Crime Drama,8.4,1981,128.0,pt
The Human Condition III: A Soldier's Prayer,Drama History War,8.4,1961,191.0,ja
The Life of Oharu,Drama,8.4,1952,136.0,ja
Fists in the Pocket,Drama Foreign Horror,8.4,1965,105.0,it
Doctor Who: The Time of the Doctor,Drama Science-Fiction,8.4,2013,60.0,en
Bo Burnham: Make Happy,Comedy Music,8.4,2016,60.0,en
From the Earth to the Moon,Documentary Drama,8.4,1998,720.0,en
Dear Zachary: A Letter to a Son About His Father,Crime Documentary,8.4,2008,95.0,en
A Brighter Summer Day,Crime Drama Romance,8.4,1991,237.0,zh
Tropico,Fantasy Music,8.4,2013,27.0,en
A Personal Journey with Martin Scorsese Through American Movies,Documentary,8.3,1995,225.0,en
The House Is Black,Documentary,8.3,1963,20.0,fa
Frozen Planet,Documentary,8.3,2011,392.0,en
Eu Fico Loko,Comedy,8.3,2017,,pt
Once Upon a Time in America,Crime Drama,8.3,1984,229.0,en
Black Mirror: White Christmas,Drama Horror Mystery Science-Fiction Tv-Movie Thriller,8.3,2014,74.0,en
Lessons of Darkness,Documentary War,8.3,1992,54.0,de
The Art of Flight,Adventure Documentary,8.3,2011,80.0,en
Psycho,Drama Horror Thriller,8.3,1960,109.0,en
Toto: Peppino: and the Hussy,Comedy,8.3,1956,106.0,it
The Godfather: Part II,Crime Drama,8.3,1974,200.0,en
Pink Floyd: Live at Pompeii,Documentary Music,8.3,1972,85.0,en
Whiplash,Drama,8.3,2014,105.0,en
In a Heartbeat,Animation Comedy Family Romance,8.3,2017,4.0,en
For All Mankind,Documentary,8.3,1989,80.0,en
Duck Amuck,Animation,8.3,1953,7.0,en
The Century of the Self,Documentary,8.3,2002,235.0,en
Louis C.K.: Chewed Up,Comedy,8.3,2008,60.0,en
The Present,Animation Comedy,8.3,2014,4.0,en
Day of Wrath,Drama Romance,8.3,1943,97.0,da
Scenes from a Marriage,Drama Romance,8.3,1973,283.0,sv
The Phantom of the Opera at the Royal Albert Hall,Drama Music Romance,8.3,2011,202.0,en
Night and Fog,Documentary History War,8.3,1955,32.0,fr
Paris is Burning,Documentary,8.2,1990,71.0,en
Generation War,Action Drama History War,8.2,2013,270.0,de
City of God,Crime Drama,8.2,2002,130.0,pt
Seven Samurai,Action Drama,8.2,1954,207.0,ja
Cinema Paradiso,Drama Romance,8.2,1988,124.0,it
Sunset Boulevard,Drama,8.2,1950,110.0,en
Paths of Glory,Drama War,8.2,1957,88.0,en
GoodFellas,Crime Drama,8.2,1990,145.0,en
Grave of the Fireflies,Animation Drama War,8.2,1988,89.0,ja
High and Low,Crime Drama Mystery Thriller,8.2,1963,142.0,ja
A Dog's Will,Adventure Comedy Drama,8.2,2000,104.0,pt
Rear Window,Drama Mystery Thriller,8.2,1954,112.0,en
Piper,Animation Family,8.2,2016,6.0,en
Dave Chappelle: For What it's Worth,Comedy,8.2,2004,58.0,en
Le Trou,Crime Drama Thriller,8.2,1960,132.0,fr
Never Sleep Again: The Elm Street Legacy,Documentary,8.2,2010,240.0,en
12 Angry Men,Drama,8.2,1957,96.0,en
Long Way Round,Adventure Documentary,8.2,2004,294.0,en
Rush: Beyond the Lighted Stage,Documentary Music,8.2,2010,107.0,en
Inner Workings,Animation Comedy,8.2,2016,7.0,en
Leon: The Professional,Crime Drama Thriller,8.2,1994,110.0,fr
The Man Who Planted Trees,Animation Drama,8.2,1987,30.0,fr
Over the Garden Wall,Adventure Animation Family Fantasy,8.2,2014,110.0,en
Louis C.K.: Hilarious,Comedy,8.2,2010,84.0,en
Harakiri,Action Drama History,8.2,1962,135.0,ja
Late Spring,Drama,8.2,1949,108.0,ja
Anne of Green Gables,Drama Family,8.2,1985,199.0,en
The World of Apu,Drama,8.2,1959,117.0,bn
Mommy,Drama,8.2,2014,138.0,en
We All Loved Each Other So Much,Drama,8.2,1974,124.0,it
Band of Brothers,Action Drama War,8.2,2001,705.0,en
City Lights,Comedy Drama Romance,8.2,1931,87.0,en
The Passion of Joan of Arc,Drama History,8.2,1928,110.0,fr
Tokyo Story,Drama,8.2,1953,136.0,ja
American History X,Drama,8.2,1998,119.0,en
The Red Shoes,Drama Romance,8.2,1948,133.0,en
Kaabil,Action Crime Romance,8.1,2017,139.0,hi
Ballad of a Soldier,Drama Romance War,8.1,1959,88.0,ru
Taxi Driver,Crime Drama,8.1,1976,114.0,en
The Invisible Guest,Crime Mystery Thriller,8.1,2016,106.0,es
Divines,Drama,8.1,2016,105.0,fr
The Power of Nightmares,Documentary,8.1,2004,180.0,en
The Barkley Marathons: The Race That Eats Its Young,Documentary History,8.1,2014,90.0,en
Satantango,Drama,8.1,1994,450.0,hu
The End of Evangelion,Animation Drama Science-Fiction,8.1,1997,87.0,ja
HyperNormalisation,Documentary,8.1,2016,166.0,en
The King of Kong,Documentary,8.1,2007,79.0,en
The Cameraman,Comedy,8.1,1928,76.0,en
Memento,Mystery Thriller,8.1,2000,113.0,en
Love Exposure,Action Comedy Drama Romance,8.1,2008,237.0,ja
Drishyam,Crime Thriller,8.1,2013,160.0,ml
Office Romance,Comedy Romance,8.1,1977,159.0,ru
Sherlock: Jr.,Comedy Drama Fantasy Mystery,8.1,1924,49.0,en
Tower,Animation Crime Documentary,8.1,2016,83.0,en
The Beauty Inside,Fantasy Romance,8.1,2015,127.0,ko
The Great Dictator,Comedy,8.1,1940,125.0,en
Forklift Driver Klaus: The First Day on the Job,Comedy Horror,8.1,2001,10.0,de
Ikiru,Drama,8.1,1952,143.0,ja
The Salt of the Earth,Documentary,8.1,2014,109.0,fr
Once Upon a Time in the West,Western,8.1,1968,175.0,it
A Silent Voice,Animation Drama,8.1,2016,130.0,ja
Come and See,Drama History War,8.1,1985,142.0,ru
Michael Jackson's Thriller,Horror Music,8.1,1983,13.0,en
