title,genre,release_date,popularity,vote_average,vote_count,runtime,original_language
Dracula: Dead and Loving It,comedy horror,1995,5.43,5.7,210,88.0,en
Copycat,drama thriller,1995,10.7,6.5,199,124.0,en
Leaving Las Vegas,drama romance,1995,10.33,7.1,365,112.0,en
Cry: the Beloved Country,drama,1995,0.89,6.7,13,106.0,en
To Die For,comedy drama fantasy thriller,1995,10.45,6.7,177,106.0,en
How To Make An American Quilt,drama romance,1995,4.49,6.5,38,116.0,en
The Usual Suspects,crime drama thriller,1995,16.3,8.1,3334,106.0,en
Lamerica,drama foreign,1994,1.36,7.7,11,116.0,it
Kids of the Round Table,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1997,0.31,3.0,1,89.0,en
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,comedy,1996,11.7,6.2,192,89.0,en
Kicking and Screaming,comedy drama romance,1995,3.37,7.0,36,96.0,en
Les Miserables,drama history,1995,1.48,6.6,8,175.0,fr
The Crossing Guard,drama thriller,1995,5.76,6.1,74,111.0,en
Last Summer in the Hamptons,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1995,0.53,0.0,0,108.0,en
Dunston Checks In,adventure comedy family,1996,4.81,5.1,59,88.0,en
The Journey of August King,drama,1995,0.41,6.7,3,91.0,en
Vampire in Brooklyn,comedy horror romance,1995,9.07,4.5,113,100.0,en
Beautiful Girls,comedy drama romance,1996,4.67,6.6,103,112.0,en
La Haine,drama,1995,12.11,7.9,695,98.0,fr
Heidi Fleiss: Hollywood Madam,documentary,1995,0.64,6.8,4,106.0,en
Happy Gilmore,comedy,1996,9.59,6.5,767,92.0,en
Rumble in the Bronx,action comedy crime thriller,1995,12.31,6.5,245,91.0,cn
Anne Frank Remembered,documentary drama foreign,1995,0.24,7.3,4,117.0,en
Chungking Express,comedy drama romance,1994,6.78,7.9,249,102.0,cn
Angela,comedy drama,1995,2.2,5.6,9,99.0,en
Frankie Starlight,drama romance war,1995,0.64,5.4,4,101.0,it
Nueba Yol,comedy drama romance,1995,0.29,5.5,1,102.0,es
Target,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1995,0.0,0.0,0,122.0,en
Up Close & Personal,drama romance,1996,3.4,5.9,51,119.0,en
Rob Roy,adventure,1995,10.19,6.5,151,139.0,en
Belle de Jour,drama romance,1967,10.14,7.3,163,101.0,fr
Beyond Rangoon,drama thriller,1995,2.04,6.4,21,100.0,en
Canadian Bacon,action comedy,1995,5.39,5.9,57,91.0,en
Feast of July,crime drama,1995,0.52,0.0,0,116.0,en
Johnny Mnemonic,action adventure drama science thriller,1995,11.72,5.5,380,97.0,en
Mad Love,drama family romance,1995,2.62,5.5,27,95.0,en
The Umbrellas of Cherbourg,drama romance,1964,8.13,7.6,119,91.0,fr
Unstrung Heroes,comedy drama family,1995,2.88,6.4,9,93.0,en
A Walk in the Clouds,drama romance,1995,9.72,6.5,168,103.0,en
Bushwhacked,action adventure comedy crime family,1995,3.29,4.9,29,90.0,en
Boys on the Side,comedy drama,1995,3.03,6.3,48,115.0,en
Destiny Turns on the Radio,comedy crime fantasy,1995,0.71,5.3,9,0.0,it
Ed Wood,comedy drama history,1994,11.72,7.3,639,127.0,en
Heavenly Creatures,drama fantasy,1994,9.44,6.9,299,99.0,en
Houseguest,comedy family,1995,2.69,6.0,17,113.0,en
Junior,comedy family romance,1994,6.71,4.7,381,109.0,en
A Kid in King Arthur's Court,adventure comedy family fantasy science,1995,5.87,4.3,40,89.0,en
Little Odessa,action drama,1994,1.86,6.4,31,98.0,en
The Madness of King George,comedy drama history,1994,4.81,6.7,67,107.0,en
Man of the House,action comedy family,1995,2.56,5.1,40,96.0,en
Miracle on 34th Street,drama family fantasy,1994,5.83,6.4,199,114.0,en
Miami Rhapsody,comedy romance,1995,1.14,5.6,7,95.0,en
Nemesis 2 - Nebula,action science thriller,1995,1.47,4.6,10,83.0,en
Only You,comedy drama romance,1994,4.94,6.4,92,115.0,en
The Perez Family,comedy drama romance,1995,1.43,6.6,9,113.0,en
Prêt-à-Porter,comedy drama,1994,6.26,5.3,33,133.0,en
Three Colors: White,comedy drama mystery,1994,6.59,7.3,218,91.0,fr
Red Firecracker: Green Firecracker,drama,1994,0.08,7.0,2,111.0,zh
Rent-a-Kid,comedy family tv,1995,1.16,5.1,15,85.0,en
Relative Fear,drama horror,1995,0.5,4.7,3,90.0,en
The Shawshank Redemption,crime drama,1994,51.65,8.5,8358,142.0,en
Shallow Grave,crime thriller,1994,8.22,7.0,247,92.0,en
The Sum of Us,comedy drama romance,1994,1.41,6.0,21,100.0,en
Tales from the Hood,crime horror thriller,1995,2.86,5.4,33,98.0,en
The Baby-Sitters Club,comedy drama family,1995,2.16,5.3,23,94.0,en
The Adventures of Priscilla: Queen of the Desert,comedy drama,1994,8.33,7.2,174,104.0,en
I Like It Like That,comedy drama romance,1994,0.29,6.3,4,104.0,en
It Could Happen to You,comedy drama romance,1994,11.27,6.1,154,101.0,en
The Wonderful: Horrible Life of Leni Riefenstahl,documentary foreign,1993,0.57,7.3,5,180.0,en
Little Buddha,drama history,1993,5.68,6.0,76,140.0,en
New Nightmare,fantasy horror mystery thriller,1994,9.86,6.4,297,112.0,en
Mrs. Parker and the Vicious Circle,drama,1994,4.74,6.3,20,125.0,en
Red Rock West,crime drama thriller,1993,5.14,6.4,71,98.0,en
Ri¢hie Ri¢h,comedy family,1994,6.6,5.4,426,95.0,en
Safe Passage,drama,1994,4.93,4.9,7,98.0,en
Speechless,comedy romance,1994,2.33,5.5,24,99.0,en
When a Man Loves a Woman,drama romance,1994,4.32,6.0,71,126.0,en
A Man of No Importance,comedy drama,1994,0.41,6.5,2,99.0,en
Homage,drama thriller,1995,0.01,0.0,0,97.0,en
Open Season,comedy,1996,0.01,0.0,0,97.0,en
The Age of Innocence,drama romance,1993,8.01,7.0,172,139.0,en
Airheads,comedy crime music,1994,7.09,5.8,222,92.0,en
Boxing Helena,drama romance,1993,4.3,4.5,59,107.0,en
Coneheads,comedy family science,1993,10.72,4.8,228,88.0,en
Dave,comedy,1993,13.7,6.3,205,110.0,en
Even Cowgirls Get the Blues,comedy drama romance western,1994,2.97,4.2,29,96.0,en
A Good Man in Africa,comedy drama,1994,5.23,5.2,11,94.0,en
Guilty as Sin,drama thriller,1993,5.39,5.6,21,107.0,en
Live Nude Girls,comedy,1995,2.14,4.7,12,95.0,en
The Englishman Who Went Up a Hill But Came Down a Mountain,comedy drama romance,1995,5.33,6.1,83,99.0,en
The Hudsucker Proxy,comedy drama,1994,7.55,7.1,280,111.0,en
In the Army Now,comedy,1994,6.07,4.7,54,91.0,en
What's Love Got to Do with It,drama music,1993,14.82,6.9,75,118.0,en
Killing Zoe,action crime drama thriller,1993,4.95,6.1,111,96.0,en
King of the Hill,drama,1993,4.38,6.4,33,103.0,en
M. Butterfly,drama romance,1993,6.52,6.6,35,101.0,en
Menace II Society,action crime drama,1993,5.26,7.2,179,97.0,en
Mr. Wonderful,comedy romance,1993,13.01,5.5,11,98.0,en
No Escape,action drama science thriller,1994,9.72,6.1,86,118.0,en
Orlando,drama fantasy romance,1992,3.8,6.7,53,93.0,en
Poetic Justice,drama romance,1993,6.97,6.9,47,109.0,en
The Program,drama,1993,3.2,6.0,28,112.0,en
The Ref,comedy,1994,5.87,6.7,99,97.0,en
Renaissance Man,comedy war,1994,4.99,5.9,83,128.0,en
The Road to Wellville,comedy romance,1994,3.42,5.5,43,118.0,en
Robin Hood: Men in Tights,comedy,1993,17.14,6.4,575,104.0,en
Second Best,drama,1994,0.88,5.9,8,105.0,en
Shadowlands,drama romance,1993,2.97,6.8,61,131.0,en
Short Cuts,comedy drama,1993,8.83,6.9,136,187.0,en
Six Degrees of Separation,comedy drama mystery,1993,8.73,6.5,75,112.0,en
Blade Runner,drama science thriller,1982,96.27,7.9,3833,117.0,en
Son in Law,comedy drama romance,1993,9.12,5.6,81,95.0,en
So I Married an Axe Murderer,comedy crime romance,1993,8.05,6.1,131,93.0,en
Striking Distance,action crime mystery thriller,1993,13.39,5.4,223,102.0,en
Harem,drama history romance,1985,1.83,4.0,4,113.0,en
Surviving the Game,action adventure crime thriller,1994,3.64,6.1,53,96.0,en
Terminal Velocity,action thriller,1994,8.01,5.0,82,102.0,en
Thirty Two Short Films About Glenn Gould,drama music,1993,0.87,7.4,9,93.0,en
True Romance,action crime romance thriller,1993,17.19,7.5,762,120.0,en
Bhaji on the Beach,comedy drama,1994,0.44,5.1,10,100.0,en
Ciao: Professore!,comedy foreign,1992,3.46,7.2,74,100.0,en
Dear Diary,comedy drama,1993,2.9,6.9,46,100.0,it
Bye Bye Love,comedy romance,1995,2.47,6.1,20,106.0,en
The Pallbearer,comedy romance,1996,8.17,4.6,30,97.0,en
Loaded,drama mystery thriller,1996,0.62,4.0,3,91.0,en
The Flower of My Secret,drama romance,1995,2.29,6.9,43,107.0,es
Two Much,comedy romance,1996,1.62,5.1,24,118.0,en
Ed,comedy family,1996,5.17,3.6,24,94.0,en
Frisk,drama thriller,1996,0.32,3.0,3,88.0,en
Sgt. Bilko,comedy family,1996,5.71,5.5,96,90.0,en
Girl 6,comedy,1996,4.41,5.7,17,108.0,en
Cold Fever,comedy drama,1995,0.49,7.7,6,85.0,de
The Superwife,comedy,1996,0.82,5.3,7,86.0,de
My Mother's Courage,drama,1995,0.62,0.0,0,93.0,de
Kids in the Hall: Brain Candy,comedy,1996,2.3,5.9,26,89.0,en
Bloodsport II,action thriller,1996,3.09,5.2,23,90.0,en
Pather Panchali,drama,1955,3.9,7.9,63,125.0,bn
Mystery Science Theater 3000: The Movie,comedy science,1996,2.99,7.0,71,73.0,en
Tarantella,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1996,0.0,0.0,0,100.0,en
The Run of the Country,drama romance,1995,0.12,8.0,2,0.0,en
Coup de Torchon,drama,1981,2.27,6.8,21,128.0,fr
It's My Party,drama,1996,2.79,6.2,9,110.0,en
The Promise,drama romance,1995,0.12,5.0,1,115.0,de
Solo,action adventure science thriller,1996,1.9,3.9,18,94.0,en
Under The Domim Tree,drama foreign,1994,0.71,6.5,2,0.0,he
Of Love and Shadows,drama,1994,0.71,4.4,11,103.0,en
The Visitors,comedy fantasy science,1993,7.33,7.1,433,107.0,fr
The Craft,drama fantasy horror thriller,1996,12.86,6.3,388,101.0,en
Last Dance,drama thriller,1996,1.2,5.6,9,103.0,en
War Stories Our Mother Never Told Us,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,,0.01,0.0,0,95.0,en
Cold Comfort Farm,comedy drama romance,1995,1.92,7.0,21,95.0,en
Thinner,horror thriller,1996,4.86,5.5,125,92.0,en
Spy Hard,action comedy,1996,8.2,4.9,148,81.0,en
Brothers in Trouble,comedy drama,1995,0.59,0.0,0,102.0,en
The Stupids,comedy family,1996,1.75,4.2,22,94.0,en
The Man from Down Under,drama war,1943,0.07,0.0,0,103.0,en
Careful,comedy drama fantasy horror,1992,0.16,7.8,4,100.0,en
A Month by the Lake,comedy drama romance,1995,0.85,7.2,7,92.0,en
Kim,adventure family,1950,1.05,7.0,5,113.0,en
Carmen Miranda: Bananas Is My Business,documentary,1995,0.15,10.0,1,91.0,pt
Spirits of the Dead,drama horror mystery,1968,1.79,5.5,24,121.0,fr
Til There Was You,comedy romance,1997,2.7,3.9,4,113.0,en
A Hungarian Fairy Tale,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1987,0.04,0.0,0,97.0,en
Somebody to Love,comedy drama,1994,0.97,5.1,2,102.0,en
She's the One,comedy romance,1996,10.83,5.7,71,96.0,en
Alaska,adventure,1996,2.32,5.2,32,109.0,en
Fled,action comedy thriller,1996,3.91,5.2,49,98.0,en
Kazaam,comedy family fantasy science,1996,8.96,3.6,60,93.0,en
Power 98,action mystery thriller,1996,0.93,4.0,1,89.0,en
Two Deaths,drama war,1995,0.15,7.0,2,102.0,en
Matilda,comedy family fantasy,1996,10.03,6.9,892,98.0,en
House Arrest,comedy family,1996,12.3,5.0,32,108.0,en
Eyes Without a Face,drama horror thriller,1960,9.94,7.5,130,90.0,fr
Lotto Land,drama,1995,0.04,7.0,1,87.0,en
The Big Squeeze,drama,1996,0.4,5.0,1,98.0,en
The Spitfire Grill,comedy drama,1996,1.2,6.8,17,117.0,en
Escape from L.A.,action adventure science thriller,1996,12.23,5.6,381,97.0,en
Basquiat,drama history,1996,4.8,6.6,97,108.0,en
The Ballad of Narayama,drama,1958,0.97,6.4,12,98.0,ja
Crows and Sparrows,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1949,0.04,5.0,1,113.0,en
Death in Brunswick,drama,1990,0.91,6.1,7,109.0,en
Vive L'Amour,drama,1994,1.4,7.3,16,118.0,zh
The Island of Dr. Moreau,fantasy horror science,1996,12.73,4.6,148,96.0,en
Talk of Angels,drama romance war,1998,0.98,6.8,4,96.0,en
Halloween: The Curse of Michael Myers,horror thriller,1995,8.77,5.0,173,88.0,en
Mother Night,drama history,1996,6.04,7.1,13,114.0,en
Liebelei,drama romance,1933,0.47,6.3,8,88.0,de
Wild Reeds,drama romance,1994,2.12,7.4,18,115.0,fr
Singin' in the Rain,comedy music romance,1952,11.06,7.9,747,103.0,en
Breakfast at Tiffany's,comedy drama romance,1961,10.88,7.6,1082,110.0,en
Charade,comedy mystery romance thriller,1963,7.1,7.7,351,113.0,en
Casablanca,drama romance,1942,13.92,7.9,1462,102.0,en
The Wizard of Oz,adventure family fantasy,1939,22.06,7.4,1689,102.0,en
Sunset Boulevard,drama,1950,11.71,8.2,533,110.0,en
Ninotchka,comedy romance,1939,5.12,7.3,77,110.0,en
Gigi,comedy music romance,1958,10.36,6.1,68,116.0,en
The Reluctant Debutante,comedy romance,1958,1.95,6.6,11,94.0,it
The Mark of Zorro,action adventure drama romance western,1940,7.43,7.1,39,94.0,en
Laura,drama mystery,1944,9.88,7.6,173,88.0,en
East of Eden,drama,1955,6.43,7.5,163,115.0,en
It's a Wonderful Life,drama family fantasy,1946,15.03,8.0,1103,130.0,en
The Inspector General,comedy music romance,1949,0.9,6.2,17,101.0,en
Night of the Living Dead,horror,1968,14.38,7.5,591,96.0,en
Beat the Devil,action adventure comedy crime drama romance,1953,2.0,6.2,31,89.0,en
A Farewell to Arms,drama romance war,1932,1.91,6.2,29,89.0,en
Moonlight Murder,music mystery,1936,0.28,6.0,1,65.0,en
Yes: Madam,action foreign,1985,1.06,7.4,11,93.0,cn
Picnic,drama romance,1955,8.5,6.7,19,115.0,en
Small Wonders,documentary family,1995,0.0,0.0,0,77.0,en
Infinity,drama romance,1996,1.23,0.0,0,119.0,en
Caught,action drama thriller,1996,1.63,6.5,5,110.0,en
Set It Off,action crime drama,1996,6.86,6.9,66,118.0,en
Davy Crockett: King of the Wild Frontier,action adventure family western,1955,5.5,5.9,14,93.0,en
Escape to Witch Mountain,adventure family fantasy science,1975,7.15,6.5,60,97.0,en
Old Yeller,adventure drama western,1957,12.89,7.0,68,83.0,en
The Three Caballeros,animation family music,1944,8.7,6.2,108,71.0,en
Pete's Dragon,animation comedy family fantasy,1977,7.64,6.4,201,128.0,en
Secrets & Lies,drama,1996,11.22,7.1,127,142.0,en
Beautiful Thing,comedy drama romance,1996,5.77,7.3,76,90.0,en
Crossfire,crime drama mystery thriller,1947,3.77,6.1,26,86.0,en
Murder: My Sweet,crime drama mystery thriller,1944,3.43,7.2,48,95.0,en
The Sexual Life of the Belgians,comedy romance,1994,0.3,5.0,2,85.0,it
The Innocents,horror,1961,7.67,7.5,126,100.0,en
Dial M for Murder,crime mystery thriller,1954,7.85,7.9,539,104.0,en
The Funeral,crime drama,1996,2.77,7.3,31,99.0,en
On Golden Pond,drama,1981,12.25,7.3,101,109.0,en
Drop Dead Fred,comedy family fantasy,1991,7.88,5.9,107,103.0,en
Dadetown,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1995,0.04,8.0,1,93.0,en
Entertaining Angels - The Dorothy Day Story,drama,1996,0.05,5.0,1,112.0,en
The Line King: The Al Hirschfeld Story,documentary,1996,0.0,0.0,0,86.0,en
JLG/JLG: Self-Portrait in December,documentary,1995,0.44,7.7,3,62.0,fr
2 or 3 Things I Know About Her,comedy drama,1967,7.27,7.0,33,100.0,fr
Cinema Paradiso,drama romance,1988,14.18,8.2,834,124.0,it
Paths of Glory,drama war,1957,8.55,8.2,565,88.0,en
The Grifters,crime drama,1990,10.81,6.5,112,110.0,en
Sex: Lies: and Videotape,drama,1989,12.29,6.7,188,100.0,en
The Thin Blue Line,crime documentary mystery,1988,5.07,7.9,109,103.0,en
GoodFellas,crime drama,1990,15.42,8.2,3211,145.0,en
Ran,action drama history,1985,12.25,7.9,349,162.0,ja
Psycho,drama horror thriller,1960,36.83,8.3,2405,109.0,en
